, 14 days,SMA12,EMA12,TBR24,VOL29,MOM10,,SMA26,EMA26,TBR12,VOL87,,Change,Gain,Loss,AV GAIN,AV LOSS,RS(INPUT 10),RSI,,,,SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
402.24,0,390.0066667,387.0259649,-0.004085271,0.035292821,-24.83,,386.4480769,402.7996401,-0.004085271,0.040496596,,0,0,0,2.924,0.441,6.630385488,86.89450223,,,,1,0,0,0,0,0,0
402.24,0,390.9725,387.6331241,-0.004085271,0.033781491,-30.9,,387.7215385,402.1969508,-0.004085271,0.039560101,,1.65,1.65,0,3.531,0.441,8.006802721,88.89728097,,,,1,0,0,0,0,0,0
403.89,0,392.4433333,388.3731563,0,0.032322651,-36.41,,389.0161538,404.0202346,0,0.038253146,,0,0,0,3.917,0.276,14.19202899,93.41760076,,,,1,0,0,0,0,0,0
403.89,0,393.6383333,389.1831835,0,0.030085149,-29.79,,390.2680769,403.879982,0,0.036454,,-4.41,0,4.41,3.917,0.938,4.175906183,80.67971164,,,,1,0,0,0,0,0,0
399.48,0,394.7883333,390.0455143,0,0.027126017,-28.14,,391.2230769,399.1415398,0,0.034360385,,-2.76,0,2.76,3.752,0.938,4,80,,,,1,0,0,0,0,0,0
396.72,0,395.4325,390.8742813,0,0.024737068,-22.62,,391.8596154,396.5337277,0,0.032528215,,-9.38,0,9.38,3.476,1.214,2.863261944,74.11513859,,,,1,0,0,0,0,0,0
387.34,0,395.5708333,391.5968278,-0.00283184,0.021931102,-19.31,,391.9019231,386.6327902,-0.00283184,0.030794332,,1.1,1.1,0,3.145,1.214,2.590609555,72.14957559,,,,1,1,1,0,0,0,0
388.44,0,395.7083333,392.2293671,0,0.020382732,-19.31,,391.8807692,388.5790161,0,0.029847413,,-7.17,0,7.17,3.145,1.214,2.590609555,72.14957559,,,,1,1,0,0,0,0,0
381.27,0,395.2483333,392.6938234,-0.004334996,0.018608097,-14.35,,391.4776923,380.707768,-0.004334996,0.028730475,,1.66,1.66,0,2.649,1.214,2.182042834,68.57364742,,,,1,1,0,0,0,1,0
382.93,0,394.9266667,393.0373378,0,0.019188447,-13.25,,391.1596154,383.1009409,0,0.028006596,,-5.52,0,5.52,2.649,1.324,2.000755287,66.67505663,,,,1,1,0,0,0,1,0
377.41,0,393.4091667,393.0945422,0,0.019703655,-8.83,,390.8415385,376.9722353,0,0.027229338,,-6.07,0,6.07,2.207,1.324,1.666918429,62.50354007,,,,1,1,0,0,0,1,0
371.34,1,391.4325,392.8388434,-0.007377706,0.020774102,-2.76,,390.205,370.9067511,-0.007377706,0.026810482,,-3.86,0,3.86,1.6,1.324,1.208459215,54.71956224,,,,1,1,1,0,0,1,1
367.48,1,388.5358333,392.1768419,-0.017695803,0.023592172,0.55,,389.4411538,367.2164038,-0.017695803,0.026694143,,6.62,6.62,0,1.269,1.324,0.958459215,48.93945237,,,,0,1,1,0,1,1,1
374.1,0,386.1908333,391.2559175,0,0.025391979,-6.07,,388.9319231,374.6295074,0,0.027036286,,-2.76,0,2.76,1.269,0.662,1.916918429,65.71724495,,,,0,1,0,0,0,1,0
371.34,0,383.4783333,390.0593661,-0.007377706,0.025863041,1.1,,387.9980769,371.086961,-0.007377706,0.026959008,,2.76,2.76,0,0.993,1.103,0.900271985,47.3759542,,,,0,1,1,0,1,1,0
374.1,0,380.9958333,388.6649764,0,0.026570055,-2.21,,387.3615385,374.3317722,0,0.026959008,,-6.07,0,6.07,1.048,0.827,1.267230955,55.89333333,,,,0,1,0,0,0,1,0
368.03,0,378.375,387.0819031,-0.011840833,0.027219449,3.31,,386.6611538,367.5452483,-0.011840833,0.026881385,,1.1,1.1,0,0.496,0.827,0.599758162,37.49055178,,,,0,1,1,1,1,1,0
369.13,0,376.0758333,385.3886616,-0.008887338,0.027699799,-3.31,,385.8757692,369.251904,-0.008887338,0.026897986,,-2.21,0,2.21,1.048,0.717,1.461645746,59.37677054,,,,0,1,0,1,0,1,0
366.92,0,374.3741667,383.6941239,-0.014821179,0.028051067,-3.31,,385.1542308,366.7406228,-0.014821179,0.026806973,,2.76,2.76,0,1.048,0.717,1.461645746,59.37677054,,,,0,1,1,1,0,1,0
